district_name,mandal_name,village_name,name_of_the_unit,line_of_activity,sector,investment,number_of_employees,application_date,approval_date,progress_of_implementation,is_online,social_status,investment_standardized,district_name_encoded,mandal_name_encoded,village_name_encoded,name_of_the_unit_encoded,line_of_activity_encoded,sector_encoded,number_of_employees_encoded,application_date_encoded,approval_date_encoded,progress_of_implementation_encoded,is_online_encoded,social_status_encoded,application_date_year,application_date_month,application_date_day,application_date_dayofweek,approval_date_year,approval_date_month,approval_date_day,approval_date_dayofweek,application_date_encoded_year,application_date_encoded_month,application_date_encoded_day,application_date_encoded_dayofweek,approval_date_encoded_year,approval_date_encoded_month,approval_date_encoded_day,approval_date_encoded_dayofweek
NIZAMABAD,KOTGIRI,BAREEDPUR,M/S. ANJANI PUTRA AGRO INDUSTRIES.,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,0.25,8,2025-08-12,,YET TO START CONSTRUCTION,YES,GENERAL,-0.7428184982907882,20,35,37,39,7,1,5,1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000007,0,0,0,2025,8,12,1,,,,,1970,1,1,3,1970,1,1,3
NIZAMABAD,BODHAN,BODHAN (R),M/S ADITHYA INDUSTRIE,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,0.2,10,2025-08-15,,YET TO START CONSTRUCTION,YES,GENERAL,-0.7693056550250291,20,36,38,40,7,1,9,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000007,0,0,0,2025,8,15,4,,,,,1970,1,1,3,1970,1,1,3
NARAYANPET,MARIKAL,CHITTANUR,TIRUMALA INDUSTRIES,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,2.845,10,2025-08-02,,YET TO START CONSTRUCTION,YES,GENERAL,0.6318649362163118,17,37,39,41,7,1,9,1970-01-01 00:00:00.000000029,1970-01-01 00:00:00.000000008,0,0,0,2025,8,2,5,,,,,1970,1,1,3,1970,1,1,3
NARAYANPET,NARWA,LANKAL,RAMAKRISHNA COTEX,COTTON SEED GINNING / DE-LINTING BY MECHANICAL MEANS,OTHERS,5.72725,20,2025-08-10,,YET TO START CONSTRUCTION,YES,GENERAL,2.158717086161625,17,38,40,42,24,14,2,1970-01-01 00:00:00.000000023,1970-01-01 00:00:00.000000008,0,0,0,2025,8,10,6,,,,,1970,1,1,3,1970,1,1,3
SANGAREDDY,JINNARAM,GADDAPOTHARAM,M/S. AET LABORATORIES PVT LTD,PHARMACEUTICAL FORMULATION AND FOR R & D PURPOSE (FOR SUSTAINED RELEASE/EXTENDED RELEASE OF DRUGS ONLY AND NOT FOR COMMERCIAL PURPOSE),R&D,5.72725,345,2025-03-19,,YET TO START CONSTRUCTION,YES,GENERAL,2.158717086161625,13,24,41,43,3,3,16,1970-01-01 00:00:00.000000030,1970-01-01 00:00:00.000000008,0,0,0,2025,3,19,2,,,,,1970,1,1,3,1970,1,1,3
RANGAREDDY,NANDIGAMA,NANDIGAMA,PANCHRATNA PACKAGING,"GRAVURE PRINTING, DIGITAL PRINTING ON FLEX, VINYL",PAPER AND PRINTING,4.75,40,2025-07-19,,YET TO START CONSTRUCTION,YES,GENERAL,1.641025607790888,9,12,42,44,25,6,17,1970-01-01 00:00:00.000000031,1970-01-01 00:00:00.000000008,0,0,0,2025,7,19,5,,,,,1970,1,1,3,1970,1,1,3
NIZAMABAD,NANDIPET,JOORPUR,M/S SRI PURNIMA AGRO INDUSTRIE'S,PARBOILED RICE MILLS,FOOD PROCESSING,3.2,20,2024-04-01,,YET TO START CONSTRUCTION,YES,GENERAL,0.8199237490294219,20,39,43,45,18,1,2,1970-01-01 00:00:00.000000032,1970-01-01 00:00:00.000000008,0,0,0,2024,4,1,0,,,,,1970,1,1,3,1970,1,1,3
SIRCILLA,YELLAREDDIPET,VENKATAPURAM,M/S. MADHU GENERAL ENGINEERING WORK SHOP,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.16,4,2025-08-10,,YET TO START CONSTRUCTION,YES,OBC,-0.7904953804124217,14,40,44,46,5,5,11,1970-01-01 00:00:00.000000023,1970-01-01 00:00:00.000000008,0,0,1,2025,8,10,6,,,,,1970,1,1,3,1970,1,1,3
MEDCHAL,QUTUBULLAPUR,JEEDIMETLA,POOJA GOYAL,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.105,5,2025-08-20,,YET TO START CONSTRUCTION,YES,GENERAL,-0.8196312528200866,3,15,15,47,5,5,4,1970-01-01 00:00:00.000000027,1970-01-01 00:00:00.000000008,0,0,0,2025,8,20,2,,,,,1970,1,1,3,1970,1,1,3
MAHABUBABAD,KESAMUDRAM,KESAMUDRAM,M/S SRI LAXMINIVASA RICE INDUSTRIES.,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,1.35,9,2025-07-31,,YET TO START CONSTRUCTION,YES,GENERAL,-0.16010105013748954,6,21,45,48,7,1,12,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000008,0,0,0,2025,7,31,3,,,,,1970,1,1,3,1970,1,1,3
